Part_ID,Part_Name,Category,Metro_Line,Quantity_Available,Reorder_Level,Unit_Cost,Supplier_Name,Lead_Time_Days,Warehouse_ID,Location_Bin,Last_Used_Date,Usage_Count,Maintenance_Type,Last_Updated,Criticality_Level
P001,HVAC Filter,Mechanical,Line 2,3,7,48169,UrbanRail Supplies,26,WH3,A19,2025-09-19,5,Corrective,2025-09-28,Medium
P002,Gear Box,Electrical,Line 3,3,6,23586,UrbanRail Supplies,8,WH1,A13,2025-09-16,7,Emergency,2025-09-28,Low
P003,Main Fuse,HVAC,Line 3,14,8,43561,TechnoRail India,29,WH3,D7,2025-09-03,23,Emergency,2025-09-28,High
P004,Lighting Inverter,HVAC,Line 1,5,7,22507,RailTech Ltd,8,WH1,C13,2025-09-27,3,Emergency,2025-09-28,High
P005,Cooling Pump,Mechanical,Line 3,17,7,43470,RailTech Ltd,15,WH2,E1,2025-08-07,15,Emergency,2025-09-28,Low
P006,Wheel Axle,Electrical,Line 3,6,3,17761,ABC Spares,29,WH2,D8,2025-08-30,29,Preventive,2025-09-28,High
P007,Cable Harness,Electrical,Line 3,9,9,36210,RailTech Ltd,19,WH2,B8,2025-08-13,23,Emergency,2025-09-28,High
P008,Overhead Wire Clamp,Electrical,Line 1,20,8,3325,RailTech Ltd,28,WH1,B2,2025-07-31,9,Emergency,2025-09-28,Low
P009,Traction Converter,Mechanical,Line 2,16,4,36331,UrbanRail Supplies,17,WH3,E8,2025-09-26,26,Corrective,2025-09-28,Medium
P010,Exhaust Fan,Mechanical,Line 2,8,2,29119,TechnoRail India,20,WH2,C4,2025-08-03,28,Corrective,2025-09-28,Medium
P011,Brake Disc,Electrical,Line 2,14,2,14749,RailTech Ltd,12,WH3,B13,2025-09-15,30,Corrective,2025-09-28,Low
P012,Shock Absorber,Mechanical,Line 3,17,6,31210,MetroParts Co.,23,WH1,D16,2025-08-23,10,Corrective,2025-09-28,Medium
P013,Voltage Regulator,Safety,Line 2,20,10,6034,MetroParts Co.,20,WH2,C5,2025-07-30,17,Preventive,2025-09-28,High
P014,Exhaust Fan,Safety,Line 2,12,4,30134,RailTech Ltd,15,WH3,C19,2025-08-13,27,Preventive,2025-09-28,Medium
P015,HVAC Filter,Electrical,Line 1,8,10,36508,TechnoRail India,20,WH1,B17,2025-08-30,2,Corrective,2025-09-28,High
P016,Battery Pack,HVAC,Line 3,20,9,35938,UrbanRail Supplies,15,WH3,E19,2025-09-09,16,Corrective,2025-09-28,High
P017,Control Unit PCB,Mechanical,Line 2,11,7,36115,TechnoRail India,29,WH2,C3,2025-08-19,1,Preventive,2025-09-28,Medium
